Incoming,Answered,Abandoned,Answertime,Duration,Waitingtime
145,139,6,20,148,221
129,127,2,19,133,109
194,178,16,26,156,320
194,187,7,24,145,224
202,195,7,21,141,179
214,208,6,13,139,57
28,28,0,13,133,78
191,187,4,15,143,100
205,197,8,21,147,143
198,196,2,23,148,123
184,177,7,20,161,110
184,174,10,25,147,167
168,160,8,26,145,124
39,37,2,14,128,63
225,210,15,28,133,153
182,174,8,32,136,236
346,305,41,45,117,307
450,441,9,19,113,151
259,248,11,20,126,111
231,214,17,18,126,151
48,47,1,13,123,106
246,236,10,20,131,276
202,195,7,25,135,333
153,150,3,15,135,132
178,172,6,19,135,275
172,165,7,19,144,204
208,200,8,26,143,195
77,76,1,29,136,114
291,250,41,41,140,430
219,212,7,21,139,110
173,169,4,18,133,134
204,197,7,17,143,117
216,185,31,30,137,386
461,441,20,30,138,220
56,55,1,26,131,113
192,176,16,23,125,167
382,365,17,20,95,173
246,223,23,25,134,324
48,46,2,26,134,85
221,205,16,26,135,195
275,261,14,33,139,178
39,36,3,19,113,112
250,236,14,29,128,247
197,184,13,29,143,221
223,208,15,28,141,411
240,236,4,18,134,128
55,52,3,16,139,102
59,54,5,8,126,121
36,31,5,11,142,116
229,219,10,13,127,155
206,189,17,15,139,228
225,200,25,21,141,282
200,193,7,17,143,220
189,179,10,22,130,401
169,159,10,22,143,206
41,40,1,25,152,125
218,187,31,48,135,313
194,185,9,21,130,165
176,172,4,16,140,135
181,179,2,18,141,137
159,151,8,29,119,221
144,135,9,24,132,385
30,29,1,33,178,136
197,185,12,24,138,140
56,47,9,24,142,168
182,153,29,38,137,641
178,166,12,30,144,312
183,164,19,25,124,220
197,182,15,28,145,260
60,58,2,37,156,190
241,224,17,23,145,165
307,295,12,29,136,165
295,289,6,26,143,191
239,230,9,26,134,194
241,231,10,23,145,112
211,195,16,33,162,196
40,35,5,40,155,192
192,174,18,32,136,220
201,179,22,35,138,220
274,247,27,28,130,244
205,176,29,41,136,311
177,160,17,28,140,239
159,151,8,22,128,442
33,28,5,13,150,62
228,210,18,23,128,189
177,172,5,25,135,172
197,169,28,34,150,461
721,616,105,57,115,348
301,270,31,42,125,606
179,175,4,24,141,192
45,45,0,16,131,201
180,164,16,25,142,110
206,200,6,22,139,127
187,181,6,32,150,234
186,177,9,28,142,330
189,180,9,35,135,204
127,116,11,34,145,166
93,90,3,26,117,177
328,292,36,37,137,385
238,223,15,33,143,220
237,222,15,34,144,172
257,235,22,45,151,264
238,223,15,32,137,202
199,164,35,32,133,416
30,27,3,32,154,157
176,163,13,38,125,330
162,144,18,41,145,220
169,157,12,29,149,116
155,146,9,30,138,190
247,205,42,49,146,456
191,186,5,24,134,114
30,29,1,6,135,46
316,290,26,31,141,242
211,195,16,34,141,385
208,169,39,45,138,435
130,124,6,22,137,135
134,129,5,24,132,208
124,121,3,27,139,199
47,43,4,37,138,196
197,186,11,28,138,147
158,146,12,31,144,220
163,151,12,28,133,293
178,160,18,35,159,281
151,128,23,35,143,338
118,106,12,33,145,272
31,28,3,40,160,192
139,134,5,31,143,170
171,154,17,27,144,388
160,156,4,27,135,107
177,169,8,29,151,220
187,180,7,26,142,356
147,138,9,26,144,319
35,35,0,8,130,47
208,194,14,35,146,266
162,155,7,19,137,223
152,143,9,22,148,221
132,125,7,26,127,232
133,131,2,12,139,79
129,121,8,33,157,241
37,35,2,19,141,92
56,54,2,13,153,133
215,210,5,12,94,102
50,46,4,14,162,73
136,129,7,22,146,150
160,142,18,35,154,190
132,115,17,36,147,275
30,28,2,47,156,142
150,140,10,29,152,131
160,144,16,46,159,265
132,122,10,37,158,231
161,151,10,28,127,170
156,149,7,22,148,251
137,128,9,31,150,304
28,25,3,60,167,286
141,133,8,33,162,278
130,123,7,32,160,140
161,155,6,27,163,163
139,132,7,28,160,111
167,130,37,29,154,716
138,122,16,35,169,330
47,44,3,26,191,209
230,206,24,38,154,275
177,153,24,30,173,268
159,149,10,33,160,272
151,135,16,36,152,281
138,126,12,34,137,250
118,118,0,26,153,98
22,21,1,42,144,176
177,156,21,42,159,196
156,147,9,29,151,221
123,121,2,26,148,209
130,125,5,26,149,208
141,134,7,39,153,188
121,113,8,38,158,258
35,31,4,34,125,269
240,226,14,36,135,246
130,118,12,32,143,220
140,130,10,29,151,455
131,111,20,38,196,599
74,74,0,13,175,113
24,24,0,12,167,57
11,10,1,13,144,55
28,26,2,10,150,86
43,43,0,8,143,52
62,62,0,17,132,86
70,69,1,22,126,520
107,97,10,21,146,160
91,85,6,30,147,349
25,25,0,11,160,55
85,79,6,24,151,187
91,83,8,26,157,220
48,46,2,11,133,82
14,11,3,18,147,165
43,42,1,22,167,195
74,69,5,23,151,288
33,33,0,14,145,89
124,112,12,26,156,330
130,126,4,25,150,178
139,139,0,18,160,183
138,130,8,26,147,112
125,119,6,22,149,220
98,96,2,20,156,173
12,12,0,18,187,96
119,117,2,18,159,163
100,96,4,21,157,165
146,133,13,31,150,220
131,127,4,22,145,148
107,104,3,8,147,96
112,105,7,24,158,268
21,21,0,32,151,85
125,104,21,37,164,165
35,34,1,24,132,136
121,109,12,38,152,321
135,122,13,32,154,188
117,114,3,22,158,147
114,97,17,39,170,496
50,49,1,35,175,142
207,198,9,16,163,231
189,183,6,21,151,238
162,156,6,24,142,128
177,165,12,26,151,230
177,167,10,23,155,165
163,134,29,38,162,436
24,20,4,26,203,136
146,139,7,18,154,381
143,141,2,22,165,165
132,122,10,31,148,276
137,130,7,26,145,126
